date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
2015-04-08;62.1;84.0;0.0;0.0;0.0;5.82;40;29.97;30;38.03;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2015-04-20;63.0;78.1;0.28;0.0;0.0;11.86;180;21.92;170;29.08;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2015-04-26;45.0;54.0;0.02;0.0;0.0;5.82;50;12.97;40;16.11;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-04-28;39.0;69.1;0.0;0.0;0.0;2.68;40;12.08;40;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-05-03;46.9;79.0;0.0;0.0;0.0;2.68;200;12.08;210;14.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-05-23;48.0;80.1;0.0;0.0;0.0;2.91;50;14.99;80;18.12;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-05-27;69.1;87.1;0.3;0.0;0.0;6.71;180;17.0;210;21.92;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2015-05-31;69.1;89.1;0.0;0.0;0.0;6.93;170;12.97;220;19.91;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-06-09;66.9;89.1;0.31;0.0;0.0;7.61;230;18.12;260;23.94;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2015-06-13;73.9;95.0;0.0;0.0;0.0;4.92;40;10.07;310;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-06-22;70.0;96.1;0.0;0.0;0.0;2.24;210;10.07;210;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-06-28;64.0;84.0;0.0;0.0;0.0;5.82;230;16.11;240;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-07-16;72.0;86.0;0.0;0.0;0.0;6.71;40;16.11;40;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-07-25;64.0;88.0;0.0;0.0;0.0;2.24;130;10.07;150;14.99;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-07-26;66.0;89.1;0.0;0.0;0.0;3.13;170;8.95;130;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-07-27;72.0;90.0;0.0;0.0;0.0;4.25;130;10.07;160;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-08-02;64.9;90.0;0.0;0.0;0.0;3.58;50;12.08;40;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2015-08-06;71.1;95.0;1.68;0.0;0.0;2.68;230;25.95;220;31.09;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2015-08-19;72.0;89.1;0.19;0.0;0.0;6.49;190;21.92;180;27.96;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No
